date,amount,source
2024-01-05,800,Family Support
2024-01-12,450,Campus Part-Time Job
2024-01-26,450,Campus Part-Time Job

2024-02-05,800,Family Support
2024-02-09,450,Campus Part-Time Job
2024-02-23,450,Campus Part-Time Job

2024-03-05,800,Family Support
2024-03-08,450,Campus Part-Time Job
2024-03-22,450,Campus Part-Time Job

2024-04-05,800,Family Support
2024-04-12,450,Campus Part-Time Job
2024-04-26,450,Campus Part-Time Job
2024-04-30,2500,Spring Scholarship

2024-05-05,800,Family Support
2024-05-10,450,Campus Part-Time Job
2024-05-24,450,Campus Part-Time Job

2024-06-01,3200,Summer Internship
2024-06-15,3200,Summer Internship

2024-07-01,3200,Summer Internship
2024-07-15,3200,Summer Internship

2024-08-01,3200,Summer Internship
2024-08-20,1200,Tax Refund

2024-09-05,800,Family Support
2024-09-13,450,Campus Part-Time Job
2024-09-27,450,Campus Part-Time Job
2024-09-30,2500,Fall Scholarship

2024-10-05,800,Family Support
2024-10-11,450,Campus Part-Time Job
2024-10-25,450,Campus Part-Time Job

2024-11-05,800,Family Support
2024-11-08,450,Campus Part-Time Job
2024-11-22,450,Campus Part-Time Job

2024-12-05,800,Family Support
2024-12-13,450,Campus Part-Time Job
2024-12-27,450,Campus Part-Time Job